epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.7824,1.57555,1.58425,2.13535,0.92115,0.90419,0.93066,0.61857,1.21276,1.22135,1.7937,0.00052,0.00052,0.00052
2,39.4518,1.44587,1.22274,2.07315,0.90159,0.87774,0.93257,0.63999,1.2275,1.17561,1.90027,0.00100753,0.00100753,0.00100753
3,53.698,1.38929,1.16309,2.01338,0.94597,0.80838,0.90229,0.67416,1.05545,0.98951,1.69196,0.0014416,0.0014416,0.0014416
4,67.7451,1.37866,1.14435,1.98829,0.8647,0.76536,0.82958,0.56373,1.19268,1.32024,1.86142,0.001703,0.001703,0.001703
5,82.0189,1.28995,1.07073,1.91221,0.93471,0.88623,0.94224,0.65167,1.14572,1.10889,1.77821,0.001604,0.001604,0.001604
6,100.932,1.28048,1.04669,1.88332,0.96815,0.91004,0.9522,0.70383,1.04281,0.79238,1.67539,0.001505,0.001505,0.001505
7,115.089,1.19798,0.93131,1.79506,0.9745,0.91527,0.95891,0.723,0.98595,0.75694,1.56861,0.001406,0.001406,0.001406
8,129.438,1.17088,0.91945,1.75987,0.95455,0.88034,0.94122,0.69726,1.042,0.80019,1.68495,0.001307,0.001307,0.001307
9,151.283,1.15712,0.89921,1.74486,0.98464,0.92814,0.95467,0.73768,0.91728,0.71689,1.52782,0.001208,0.001208,0.001208
10,165.829,1.09974,0.8146,1.70051,0.96286,0.93413,0.95465,0.74835,0.91891,0.67758,1.52224,0.001109,0.001109,0.001109
11,207.127,0.88369,0.6647,1.54972,0.97477,0.92553,0.95587,0.72323,0.95662,0.72321,1.55188,0.00101,0.00101,0.00101
12,221.999,0.88605,0.58112,1.54031,0.97929,0.8982,0.95314,0.69782,1.07003,0.72493,1.6805,0.000911,0.000911,0.000911
13,235.901,0.83414,0.57921,1.49227,0.95368,0.90419,0.94986,0.71226,0.97162,0.68211,1.54505,0.000812,0.000812,0.000812
14,250.951,0.83245,0.56065,1.48805,0.96305,0.93653,0.95661,0.73137,0.94479,0.66713,1.532,0.000713,0.000713,0.000713
15,266.293,0.79272,0.53371,1.44443,0.9747,0.93413,0.96515,0.7479,0.87526,0.61689,1.46106,0.000614,0.000614,0.000614
16,280.479,0.75911,0.49238,1.41529,1,0.94418,0.96306,0.77993,0.80612,0.54337,1.37676,0.000515,0.000515,0.000515
17,296.807,0.73677,0.48325,1.40458,0.99032,0.93413,0.96002,0.77345,0.79474,0.55357,1.37253,0.000416,0.000416,0.000416
18,314.464,0.75097,0.46992,1.38177,0.9982,0.93413,0.96123,0.77566,0.784,0.51558,1.36838,0.000317,0.000317,0.000317
19,328.876,0.70751,0.45093,1.35537,0.99687,0.92814,0.95827,0.77,0.81519,0.55846,1.38881,0.000218,0.000218,0.000218
20,347.261,0.68615,0.43745,1.34616,0.99768,0.93413,0.96141,0.78663,0.7874,0.50437,1.36141,0.000119,0.000119,0.000119
