epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.3646,3.05442,3.58329,4.19144,0.00317,0.83832,0.01241,0.0039,2.73755,3.43924,4.15336,0.00022,0.00022,0.00022
2,70.075,2.99099,3.39389,4.05273,0.00317,0.83832,0.02186,0.00739,2.60288,3.41054,4.07249,0.00042205,0.00042205,0.00042205
3,123.439,2.25577,3.4003,3.62229,0.00315,0.83234,0.02967,0.00944,2.7367,3.45791,4.09043,0.0005845,0.0005845,0.0005845
4,149.749,1.96774,3.045,3.14304,0.00315,0.83234,0.08179,0.0232,2.85768,3.50756,4.01575,0.00070735,0.00070735,0.00070735
5,178.306,1.90448,2.73609,2.89981,0.00311,0.82036,0.33693,0.06604,3.01824,3.51112,3.88786,0.0007906,0.0007906,0.0007906
6,212.172,1.77651,2.41802,2.69712,0.00306,0.80838,0.32172,0.07466,2.82952,2.91566,3.62446,0.00083425,0.00083425,0.00083425
7,238.303,1.56747,2.07202,2.43973,0.00313,0.82635,0.02111,0.00503,2.89543,3.22637,4.01244,0.0008383,0.0008383,0.0008383
8,264.877,1.49393,1.80107,2.33123,0.74118,0.1372,0.41165,0.09586,2.82682,2.87548,3.68285,0.00080275,0.00080275,0.00080275
9,290.477,1.39051,1.61215,2.18477,0.63023,0.18373,0.35681,0.07759,2.92747,3.05855,3.82425,0.00068,0.00068,0.00068
10,317.565,1.31734,1.40513,2.08698,0.5245,0.35669,0.3296,0.07156,2.97706,2.82631,4.01137,0.000515,0.000515,0.000515
11,348.407,1.24655,1.27164,2.01695,0.65106,0.49102,0.48332,0.13895,2.48973,2.44057,3.38843,0.00035,0.00035,0.00035
12,475.205,1.1801,1.20106,1.93388,0.82289,0.5509,0.59907,0.25233,2.0516,1.96088,2.89701,0.000185,0.000185,0.000185
