epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.055,3.05381,3.44215,4.05804,0.00315,0.83234,0.0129,0.00461,2.64008,3.52092,4.05853,0.0005,0.0005,0.0005
2,43.9729,2.61571,2.94823,3.45719,0.02416,0.72455,0.07461,0.03237,2.40037,3.68864,3.31587,0.000956888,0.000956888,0.000956888
3,63.0938,2.28855,2.45647,2.98626,0.01367,0.73054,0.01704,0.00618,2.63825,4.65899,4.32602,0.00134943,0.00134943,0.00134943
4,80.5414,2.09104,2.19277,2.75644,0.21585,0.22156,0.1581,0.05709,2.50788,3.10893,3.59528,0.00162875,0.00162875,0.00162875
5,100.143,1.94977,2.01129,2.57915,0.12659,0.41317,0.10038,0.04046,2.18526,5.97139,3.17397,0.001505,0.001505,0.001505
6,119.505,1.79741,1.7664,2.42666,0.37171,0.5509,0.35301,0.15836,1.80826,3.92961,2.64708,0.00138125,0.00138125,0.00138125
7,168.298,1.44803,1.53055,2.29491,0.89729,0.68862,0.80407,0.46015,1.80006,1.59229,2.4857,0.0012575,0.0012575,0.0012575
8,186.172,1.30875,1.19758,2.08228,0.9569,0.79765,0.91667,0.61888,1.3507,1.0648,2.03078,0.00113375,0.00113375,0.00113375
9,199.75,1.1921,1.03714,1.9331,0.89835,0.85629,0.91837,0.63718,1.26492,1.05175,1.91662,0.00101,0.00101,0.00101
10,213.056,1.1351,0.91609,1.87006,0.98108,0.73054,0.89184,0.62685,1.19298,1.04334,1.8466,0.00088625,0.00088625,0.00088625
11,226.286,1.05368,0.84034,1.79817,0.91575,0.84618,0.92712,0.62231,1.25627,1.11516,1.88082,0.0007625,0.0007625,0.0007625
12,242.27,1.01878,0.77379,1.74811,0.94896,0.8907,0.94163,0.70134,1.08787,0.8084,1.69383,0.00063875,0.00063875,0.00063875
13,256.282,0.98091,0.74744,1.69202,0.94306,0.89257,0.94498,0.68577,1.13628,0.87235,1.77437,0.000515,0.000515,0.000515
14,269.532,0.93754,0.68391,1.65744,0.95509,0.89152,0.94301,0.69839,1.05835,0.81543,1.68911,0.00039125,0.00039125,0.00039125
15,283.196,0.91259,0.67179,1.60576,0.96037,0.8982,0.94759,0.71019,1.0568,0.76386,1.6587,0.0002675,0.0002675,0.0002675
16,298.762,0.87413,0.63043,1.57745,0.97201,0.91018,0.95275,0.73784,0.99343,0.71055,1.60251,0.00014375,0.00014375,0.00014375
