epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.4721,2.73905,3.16779,3.72559,0.80888,0.68428,0.79958,0.5742,2.19628,2.26345,3.45897,0.000657895,0.000657895,0.000657895
2,32.4837,2.781,2.9882,3.71292,0.77277,0.67201,0.77287,0.55638,2.15614,2.05196,3.3725,0.0012426,0.0012426,0.0012426
3,46.2613,2.77553,2.8228,3.70298,0.71454,0.75449,0.79237,0.5809,2.16562,2.00383,3.42081,0.00174481,0.00174481,0.00174481
4,60.7302,2.66584,2.67408,3.57969,0.73098,0.71257,0.7703,0.56255,2.08369,1.96962,3.25471,0.00162875,0.00162875,0.00162875
5,75.2729,2.57711,2.49286,3.49898,0.79146,0.74997,0.84761,0.63482,1.97455,1.61779,3.16731,0.001505,0.001505,0.001505
6,90.1391,2.5119,2.36893,3.43407,0.81471,0.73054,0.85052,0.64385,1.89564,1.56931,3.05547,0.00138125,0.00138125,0.00138125
7,125.712,2.0523,1.86468,3.29736,0.80602,0.75449,0.84945,0.61873,2.14292,1.74027,3.35629,0.0012575,0.0012575,0.0012575
8,139.244,1.8716,1.58033,3.08104,0.80502,0.83832,0.87098,0.66627,1.88956,1.42057,3.10476,0.00113375,0.00113375,0.00113375
9,154.346,1.8957,1.41898,3.04774,0.88494,0.78292,0.8972,0.7071,1.84799,1.2661,2.91567,0.00101,0.00101,0.00101
10,168.49,1.82201,1.36616,3.01594,0.87607,0.84431,0.90475,0.69006,1.84998,1.29062,2.98047,0.00088625,0.00088625,0.00088625
11,183.295,1.74306,1.33287,2.94086,0.85323,0.80838,0.90263,0.71548,1.76398,1.22197,2.88119,0.0007625,0.0007625,0.0007625
12,198.19,1.6673,1.20136,2.83579,0.93789,0.77844,0.91144,0.73093,1.66666,1.15109,2.80458,0.00063875,0.00063875,0.00063875
13,212.429,1.60056,1.18057,2.80184,0.91826,0.8072,0.92283,0.74688,1.64613,1.1005,2.76244,0.000515,0.000515,0.000515
14,227.264,1.58677,1.14462,2.77442,0.89759,0.79641,0.90651,0.73045,1.59743,1.15353,2.76272,0.00039125,0.00039125,0.00039125
15,241.635,1.52773,1.09796,2.6783,0.92631,0.82802,0.92952,0.75128,1.57107,1.03729,2.74104,0.0002675,0.0002675,0.0002675
16,256.183,1.45426,1.05027,2.62084,0.8446,0.84617,0.91914,0.7492,1.54572,1.05836,2.70816,0.00014375,0.00014375,0.00014375
